"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2004","Luxembourg","Total","Total","Number","454,960",""
"2004","Hungary","Total","Total","Number","10,116,742",""
"2004","Malta","Total","Total","Number","399,867",""
"2004","Netherlands","Total","Total","Number","16,258,032",""
"2004","Austria","Total","Total","Number","8,142,573",""
"2004","Poland","Total","Total","Number","38,190,608",""
"2004","Portugal","Total","Total","Number","10,473,050",""
"2004","Romania","Total","Total","Number","21,521,142",""
"2004","Slovenia","Total","Total","Number","1,996,433",""
"2004","Slovakia","Total","Total","Number","5,371,875",""
"2004","Finland","Total","Total","Number","5,219,732",""
"2004","Sweden","Total","Total","Number","8,975,670",""
"2004","United Kingdom","Total","Total","Number","59,793,759",""
"2004","Iceland","Total","Total","Number","290,570",""
"2004","Liechtenstein","Total","Total","Number","34,294",""
"2004","Norway","Total","Total","Number","4,577,457",""
"2004","Switzerland","Total","Total","Number","7,364,148",""
"2005","Belgium","Total","Total","Number","10,445,852",""
"2005","Bulgaria","Total","Total","Number","7,688,573",""
"2005","Czechia","Total","Total","Number","10,198,855",""
"2005","Denmark","Total","Total","Number","5,411,405",""
"2005","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,500,849",""
"2005","Estonia","Total","Total","Number","1,358,850",""
"2005","Ireland","Total","Total","Number","4,111,672",""
"2005","Greece","Total","Total","Number","10,969,912",""
"2005","Spain","Total","Total","Number","43,296,338",""
"2005","France","Total","Total","Number","62,772,870",""
"2005","Croatia","Total","Total","Number","4,310,861",""
"2005","Italy","Total","Total","Number","57,874,753",""
"2005","Cyprus","Total","Total","Number","733,067",""
"2005","Latvia","Total","Total","Number","2,249,724",""
"2005","Lithuania","Total","Total","Number","3,355,220",""
"2005","Luxembourg","Total","Total","Number","461,230",""
"2005","Hungary","Total","Total","Number","10,097,549",""
"2005","Malta","Total","Total","Number","402,668",""
"2005","Netherlands","Total","Total","Number","16,305,526",""
"2005","Austria","Total","Total","Number","8,201,359",""
"2005","Poland","Total","Total","Number","38,173,835",""
"2005","Portugal","Total","Total","Number","10,494,672",""
"2005","Romania","Total","Total","Number","21,382,354",""
"2005","Slovenia","Total","Total","Number","1,997,590",""
"2005","Slovakia","Total","Total","Number","5,372,685",""
"2005","Finland","Total","Total","Number","5,236,611",""
"2005","Sweden","Total","Total","Number","9,011,392",""
"2005","United Kingdom","Total","Total","Number","60,182,050",""
"2005","Iceland","Total","Total","Number","293,577",""
"2005","Liechtenstein","Total","Total","Number","34,600",""
"2005","Norway","Total","Total","Number","4,606,363",""
"2005","Switzerland","Total","Total","Number","7,415,102",""
"2006","Belgium","Total","Total","Number","10,511,382",""
"2006","Bulgaria","Total","Total","Number","7,629,371",""
"2006","Czechia","Total","Total","Number","10,223,577",""
"2006","Denmark","Total","Total","Number","5,427,459",""
"2006","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,437,995",""
"2006","Estonia","Total","Total","Number","1,350,700",""
"2006","Ireland","Total","Total","Number","4,208,156",""
"2006","Greece","Total","Total","Number","11,004,716",""
"2006","Spain","Total","Total","Number","44,009,971",""
"2006","France","Total","Total","Number","63,229,635",""
"2006","Croatia","Total","Total","Number","4,312,487",""
"2006","Italy","Total","Total","Number","58,064,214",""
"2006","Cyprus","Total","Total","Number","744,013",""
"2006","Latvia","Total","Total","Number","2,227,874",""
"2006","Lithuania","Total","Total","Number","3,289,835",""
"2006","Luxembourg","Total","Total","Number","469,086",""
"2006","Hungary","Total","Total","Number","10,076,581",""
"2006","Malta","Total","Total","Number","404,999",""
"2006","Netherlands","Total","Total","Number","16,334,210",""
"2006","Austria","Total","Total","Number","8,254,298",""
"2006","Poland","Total","Total","Number","38,157,055",""
"2006","Portugal","Total","Total","Number","10,511,988",""
"2006","Romania","Total","Total","Number","21,257,016",""
"2006","Slovenia","Total","Total","Number","2,003,358",""
"2006","Slovakia","Total","Total","Number","5,372,928",""
"2006","Finland","Total","Total","Number","5,255,580",""
"2006","Sweden","Total","Total","Number","9,047,752",""
"2006","United Kingdom","Total","Total","Number","60,620,361",""
"2006","Iceland","Total","Total","Number","299,891",""
"2006","Liechtenstein","Total","Total","Number","34,905",""
"2006","Norway","Total","Total","Number","4,640,219",""
"2006","Switzerland","Total","Total","Number","7,459,128",""
"2007","Belgium","Total","Total","Number","10,584,534",""
"2007","Bulgaria","Total","Total","Number","7,572,673",""
"2007","Czechia","Total","Total","Number","10,254,233",""
"2007","Denmark","Total","Total","Number","5,447,084",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,314,906",""
"2007","Estonia","Total","Total","Number","1,342,920",""
"2007","Ireland","Total","Total","Number","4,340,118",""
"2007","Greece","Total","Total","Number","11,036,008",""
"2007","Spain","Total","Total","Number","44,784,666",""
"2007","France","Total","Total","Number","63,645,065",""
"2007","Croatia","Total","Total","Number","4,313,530",""
"2007","Italy","Total","Total","Number","58,223,744",""
"2007","Cyprus","Total","Total","Number","757,916",""
"2007","Latvia","Total","Total","Number","2,208,840",""
"2007","Lithuania","Total","Total","Number","3,249,983",""
"2007","Luxembourg","Total","Total","Number","476,187",""
"2007","Hungary","Total","Total","Number","10,066,158",""
"2007","Malta","Total","Total","Number","405,616",""
"2007","Netherlands","Total","Total","Number","16,357,992",""
"2007","Austria","Total","Total","Number","8,282,984",""
"2007","Poland","Total","Total","Number","38,125,479",""
"2007","Portugal","Total","Total","Number","10,532,588",""
"2007","Romania","Total","Total","Number","21,130,503",""
"2007","Slovenia","Total","Total","Number","2,010,377",""
"2007","Slovakia","Total","Total","Number","5,373,180",""
"2007","Finland","Total","Total","Number","5,276,955",""
"2007","Sweden","Total","Total","Number","9,113,257",""
"2007","United Kingdom","Total","Total","Number","61,073,279",""
"2007","Iceland","Total","Total","Number","307,672",""
"2007","Liechtenstein","Total","Total","Number","35,168",""
"2007","Norway","Total","Total","Number","4,681,134",""
"2007","Switzerland","Total","Total","Number","7,508,739",""
"2008","Belgium","Total","Total","Number","10,666,866",""
"2008","Bulgaria","Total","Total","Number","7,518,002",""
"2008","Czechia","Total","Total","Number","10,343,422",""
"2008","Denmark","Total","Total","Number","5,475,791",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,217,837",""
"2008","Estonia","Total","Total","Number","1,338,440",""
"2008","Ireland","Total","Total","Number","4,457,765",""
"2008","Greece","Total","Total","Number","11,060,937",""
"2008","Spain","Total","Total","Number","45,668,939",""
"2008","France","Total","Total","Number","64,007,193",""
"2008","Croatia","Total","Total","Number","4,311,967",""
"2008","Italy","Total","Total","Number","58,652,875",""
"2008","Cyprus","Total","Total","Number","776,333",""
"2008","Latvia","Total","Total","Number","2,191,810",""
"2008","Lithuania","Total","Total","Number","3,212,605",""
"2008","Luxembourg","Total","Total","Number","483,799",""
"2008","Hungary","Total","Total","Number","10,045,401",""
"2008","Malta","Total","Total","Number","407,832",""
"2008","Netherlands","Total","Total","Number","16,405,399",""
"2008","Austria","Total","Total","Number","8,307,989",""
"2008","Poland","Total","Total","Number","38,115,641",""
"2008","Portugal","Total","Total","Number","10,553,339",""
"2008","Romania","Total","Total","Number","20,635,460",""
"2008","Slovenia","Total","Total","Number","2,010,269","b"
"2008","Slovakia","Total","Total","Number","5,376,064",""
"2008","Finland","Total","Total","Number","5,300,484",""
"2008","Sweden","Total","Total","Number","9,182,927",""
"2008","United Kingdom","Total","Total","Number","61,571,647",""
"2008","Iceland","Total","Total","Number","315,459",""
"2008","Liechtenstein","Total","Total","Number","35,356",""
"2008","Norway","Total","Total","Number","4,737,171",""
"2008","Switzerland","Total","Total","Number","7,593,494",""
"2009","Belgium","Total","Total","Number","10,753,080",""
"2009","Bulgaria","Total","Total","Number","7,467,119",""
"2009","Czechia","Total","Total","Number","10,425,783",""
"2009","Denmark","Total","Total","Number","5,511,451",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,002,356",""
"2009","Estonia","Total","Total","Number","1,335,740",""
"2009","Ireland","Total","Total","Number","4,521,322",""
"2009","Greece","Total","Total","Number","11,094,745",""
"2009","Spain","Total","Total","Number","46,239,273",""
"2009","France","Total","Total","Number","64,350,226",""
"2009","Croatia","Total","Total","Number","4,309,796",""
"2009","Italy","Total","Total","Number","59,000,586",""
"2009","Cyprus","Total","Total","Number","796,930",""
"2009","Latvia","Total","Total","Number","2,162,834",""
"2009","Lithuania","Total","Total","Number","3,183,856",""
"2009","Luxembourg","Total","Total","Number","493,500",""
"2009","Hungary","Total","Total","Number","10,030,975",""
"2009","Malta","Total","Total","Number","410,926",""
"2009","Netherlands","Total","Total","Number","16,485,787",""
"2009","Austria","Total","Total","Number","8,335,003",""
"2009","Poland","Total","Total","Number","38,135,876",""
"2009","Portugal","Total","Total","Number","10,563,014",""
"2009","Romania","Total","Total","Number","20,440,290",""
"2009","Slovenia","Total","Total","Number","2,032,362",""
"2009","Slovakia","Total","Total","Number","5,382,401",""
"2009","Finland","Total","Total","Number","5,326,314",""
"2009","Sweden","Total","Total","Number","9,256,347",""
"2009","United Kingdom","Total","Total","Number","62,042,343",""
"2009","Iceland","Total","Total","Number","319,368",""
"2009","Liechtenstein","Total","Total","Number","35,589",""
"2009","Norway","Total","Total","Number","4,799,252",""
"2009","Switzerland","Total","Total","Number","7,701,856",""
"2010","Belgium","Total","Total","Number","10,839,905",""
"2010","Bulgaria","Total","Total","Number","7,421,766",""
"2010","Czechia","Total","Total","Number","10,462,088",""
"2010","Denmark","Total","Total","Number","5,534,738",""
"2010","Germany (until 1990 former territory of the FRG)","Total","Total","Number","81,802,257",""
"2010","Estonia","Total","Total","Number","1,333,290",""
"2010","Ireland","Total","Total","Number","4,549,428",""
"2010","Greece","Total","Total","Number","11,119,289",""
"2010","Spain","Total","Total","Number","46,486,619",""
"2010","France","Total","Total","Number","64,658,856",""
"2010","Croatia","Total","Total","Number","4,302,847",""
"2010","Italy","Total","Total","Number","59,190,143",""
"2010","Cyprus","Total","Total","Number","819,140",""
"2010","Latvia","Total","Total","Number","2,120,504",""
"2010","Lithuania","Total","Total","Number","3,141,976",""
"2010","Luxembourg","Total","Total","Number","502,066",""
"2010","Hungary","Total","Total","Number","10,014,324",""
"2010","Malta","Total","Total","Number","414,027",""
"2010","Netherlands","Total","Total","Number","16,574,989",""
"2010","Austria","Total","Total","Number","8,351,643",""
"2010","Poland","Total","Total","Number","38,022,869","b"
"2010","Portugal","Total","Total","Number","10,573,479",""
"2010","Romania","Total","Total","Number","20,294,683",""
"2010","Slovenia","Total","Total","Number","2,046,976",""
"2010","Slovakia","Total","Total","Number","5,390,410",""
"2010","Finland","Total","Total","Number","5,351,427",""
"2010","Sweden","Total","Total","Number","9,340,682",""
"2010","United Kingdom","Total","Total","Number","62,510,197",""
"2010","Iceland","Total","Total","Number","317,630",""
"2010","Liechtenstein","Total","Total","Number","35,894",""
"2010","Norway","Total","Total","Number","4,858,199",""
"2010","Switzerland","Total","Total","Number","7,785,806",""
"2011","Belgium","Total","Total","Number","11,000,638","b"
"2011","Bulgaria","Total","Total","Number","7,369,431",""
"2011","Czechia","Total","Total","Number","10,486,731",""
"2011","Denmark","Total","Total","Number","5,560,628",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Total","Number","80,222,065","b"
"2011","Estonia","Total","Total","Number","1,329,660",""
"2011","Ireland","Total","Total","Number","4,570,881",""
"2011","Greece","Total","Total","Number","11,123,392",""
"2011","Spain","Total","Total","Number","46,667,174",""
"2011","France","Total","Total","Number","64,978,721",""
"2011","Croatia","Total","Total","Number","4,289,857",""
"2011","Italy","Total","Total","Number","59,364,690",""
"2011","Cyprus","Total","Total","Number","839,751",""
"2011","Latvia","Total","Total","Number","2,074,605",""
"2011","Lithuania","Total","Total","Number","3,052,588",""
"2011","Luxembourg","Total","Total","Number","511,840",""
"2011","Hungary","Total","Total","Number","9,985,722",""
"2011","Malta","Total","Total","Number","414,989",""
"2011","Netherlands","Total","Total","Number","16,655,799",""
"2011","Austria","Total","Total","Number","8,375,164",""
"2011","Poland","Total","Total","Number","38,062,718",""
"2011","Portugal","Total","Total","Number","10,572,721",""
"2011","Romania","Total","Total","Number","20,199,059",""
"2011","Slovenia","Total","Total","Number","2,050,189",""
"2011","Slovakia","Total","Total","Number","5,392,446",""
"2011","Finland","Total","Total","Number","5,375,276",""
"2011","Sweden","Total","Total","Number","9,415,570",""
"2011","United Kingdom","Total","Total","Number","63,022,532",""
"2011","Iceland","Total","Total","Number","318,452",""
"2011","Liechtenstein","Total","Total","Number","36,149",""
"2011","Norway","Total","Total","Number","4,920,305",""
"2011","Switzerland","Total","Total","Number","7,870,134","b"
"2012","Belgium","Total","Total","Number","11,075,889","b"
"2012","Bulgaria","Total","Total","Number","7,327,224",""
"2012","Czechia","Total","Total","Number","10,505,445",""
"2012","Denmark","Total","Total","Number","5,580,516",""
"2012","Germany (until 1990 former territory of the FRG)","Total","Total","Number","80,327,900",""
"2012","Estonia","Total","Total","Number","1,325,217",""
"2012","Ireland","Total","Total","Number","4,589,287",""
"2012","Greece","Total","Total","Number","11,086,406",""
"2012","Spain","Total","Total","Number","46,818,219",""
"2012","France","Total","Total","Number","65,276,983","b"
"2012","Croatia","Total","Total","Number","4,275,984",""
"2012","Italy","Total","Total","Number","59,394,207",""
"2012","Cyprus","Total","Total","Number","862,011",""
"2012","Latvia","Total","Total","Number","2,044,813",""
"2012","Lithuania","Total","Total","Number","3,003,641",""
"2012","Luxembourg","Total","Total","Number","524,853","b"
"2012","Hungary","Total","Total","Number","9,931,925","b"
"2012","Malta","Total","Total","Number","417,546",""
"2012","Netherlands","Total","Total","Number","16,730,348",""
"2012","Austria","Total","Total","Number","8,408,121",""
"2012","Poland","Total","Total","Number","38,063,792",""
"2012","Portugal","Total","Total","Number","10,542,398",""
"2012","Romania","Total","Total","Number","20,095,996",""
"2012","Slovenia","Total","Total","Number","2,055,496",""
"2012","Slovakia","Total","Total","Number","5,404,322",""
"2012","Finland","Total","Total","Number","5,401,267",""
"2012","Sweden","Total","Total","Number","9,482,855",""
"2012","United Kingdom","Total","Total","Number","63,495,088",""
"2012","Iceland","Total","Total","Number","319,575",""
"2012","Liechtenstein","Total","Total","Number","36,475",""
"2012","Norway","Total","Total","Number","4,985,870",""
"2012","Switzerland","Total","Total","Number","7,954,662",""
"2013","Belgium","Total","Total","Number","11,137,974",""
"2013","Bulgaria","Total","Total","Number","7,284,552",""
"2013","Czechia","Total","Total","Number","10,516,125",""
"2013","Denmark","Total","Total","Number","5,602,628",""
"2013","Germany (until 1990 former territory of the FRG)","Total","Total","Number","80,523,746",""
"2013","Estonia","Total","Total","Number","1,320,174",""
"2013","Ireland","Total","Total","Number","4,609,779",""
"2013","Greece","Total","Total","Number","11,003,615",""
"2013","Spain","Total","Total","Number","46,727,890",""
"2013","France","Total","Total","Number","65,600,350",""
"2013","Croatia","Total","Total","Number","4,262,140",""
"2013","Italy","Total","Total","Number","59,685,227",""
"2013","Cyprus","Total","Total","Number","865,878",""
"2013","Latvia","Total","Total","Number","2,023,825",""
"2013","Lithuania","Total","Total","Number","2,971,905",""
"2013","Luxembourg","Total","Total","Number","537,039",""
"2013","Hungary","Total","Total","Number","9,908,798",""
"2013","Malta","Total","Total","Number","422,509",""
"2013","Netherlands","Total","Total","Number","16,779,575",""
"2013","Austria","Total","Total","Number","8,451,860",""
"2013","Poland","Total","Total","Number","38,062,535",""
"2013","Portugal","Total","Total","Number","10,487,289",""
"2013","Romania","Total","Total","Number","20,020,074",""
"2013","Slovenia","Total","Total","Number","2,058,821",""
"2013","Slovakia","Total","Total","Number","5,410,836",""
"2013","Finland","Total","Total","Number","5,426,674",""
"2013","Sweden","Total","Total","Number","9,555,893",""
"2013","United Kingdom","Total","Total","Number","63,905,342",""
"2013","Iceland","Total","Total","Number","321,857",""
"2013","Liechtenstein","Total","Total","Number","36,838",""
"2013","Norway","Total","Total","Number","5,051,275",""
"2013","Switzerland","Total","Total","Number","8,039,060",""
"2014","Belgium","Total","Total","Number","11,180,840",""
"2014","Bulgaria","Total","Total","Number","7,245,677",""
"2014","Czechia","Total","Total","Number","10,512,419",""
"2014","Denmark","Total","Total","Number","5,627,235",""
"2014","Germany (until 1990 former territory of the FRG)","Total","Total","Number","80,767,463",""
"2014","Estonia","Total","Total","Number","1,315,819",""
"2014","Ireland","Total","Total","Number","4,637,852",""
"2014","Greece","Total","Total","Number","10,926,807",""
"2014","Spain","Total","Total","Number","46,512,199",""
"2014","France","Total","Total","Number","66,165,980","b"
"2014","Croatia","Total","Total","Number","4,246,809",""
"2014","Italy","Total","Total","Number","60,782,668",""
"2014","Cyprus","Total","Total","Number","858,000",""
"2014","Latvia","Total","Total","Number","2,001,468",""
"2014","Lithuania","Total","Total","Number","2,943,472",""
"2014","Luxembourg","Total","Total","Number","549,680",""
"2014","Hungary","Total","Total","Number","9,877,365",""
"2014","Malta","Total","Total","Number","429,424",""
"2014","Netherlands","Total","Total","Number","16,829,289",""
"2014","Austria","Total","Total","Number","8,507,786",""
"2014","Poland","Total","Total","Number","38,017,856",""
"2014","Portugal","Total","Total","Number","10,427,301",""
"2014","Romania","Total","Total","Number","19,947,311",""
"2014","Slovenia","Total","Total","Number","2,061,085",""
"2014","Slovakia","Total","Total","Number","5,415,949",""
"2014","Finland","Total","Total","Number","5,451,270",""
"2014","Sweden","Total","Total","Number","9,644,864",""
"2014","United Kingdom","Total","Total","Number","64,351,203",""
"2014","Iceland","Total","Total","Number","325,671",""
"2014","Liechtenstein","Total","Total","Number","37,129",""
"2014","Norway","Total","Total","Number","5,107,970",""
"2014","Switzerland","Total","Total","Number","8,139,631",""
"2015","Belgium","Total","Total","Number","11,237,274",""
"2015","Bulgaria","Total","Total","Number","7,202,198",""
"2015","Czechia","Total","Total","Number","10,538,275",""
"2015","Denmark","Total","Total","Number","5,659,715",""
"2015","Germany (until 1990 former territory of the FRG)","Total","Total","Number","81,197,537",""
"2015","Estonia","Total","Total","Number","1,314,870","b"
"2015","Ireland","Total","Total","Number","4,677,627",""
"2015","Greece","Total","Total","Number","10,858,018",""
"2015","Spain","Total","Total","Number","46,449,565",""
"2015","France","Total","Total","Number","66,458,153",""
"2015","Croatia","Total","Total","Number","4,225,316",""
"2015","Italy","Total","Total","Number","60,795,612",""
"2015","Cyprus","Total","Total","Number","847,008",""
"2015","Latvia","Total","Total","Number","1,986,096",""
"2015","Lithuania","Total","Total","Number","2,921,262",""
"2015","Luxembourg","Total","Total","Number","562,958",""
"2015","Hungary","Total","Total","Number","9,855,571",""
"2015","Malta","Total","Total","Number","439,691",""
"2015","Netherlands","Total","Total","Number","16,900,726",""
"2015","Austria","Total","Total","Number","8,584,926",""
"2015","Poland","Total","Total","Number","38,005,614",""
"2015","Portugal","Total","Total","Number","10,374,822",""
"2015","Romania","Total","Total","Number","19,870,647",""
"2015","Slovenia","Total","Total","Number","2,062,874",""
"2015","Slovakia","Total","Total","Number","5,421,349",""
"2015","Finland","Total","Total","Number","5,471,753",""
"2015","Sweden","Total","Total","Number","9,747,355",""
"2015","United Kingdom","Total","Total","Number","64,853,393",""
"2015","Iceland","Total","Total","Number","329,100",""
"2015","Liechtenstein","Total","Total","Number","37,366",""
"2015","Norway","Total","Total","Number","5,166,493",""
"2015","Switzerland","Total","Total","Number","8,237,666",""
"2016","Belgium","Total","Total","Number","11,311,117",""
"2016","Bulgaria","Total","Total","Number","7,153,784",""
"2016","Czechia","Total","Total","Number","10,553,843",""
"2016","Denmark","Total","Total","Number","5,707,251",""
"2016","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,175,684",""
"2016","Estonia","Total","Total","Number","1,315,944",""
"2016","Ireland","Total","Total","Number","4,726,286",""
"2016","Greece","Total","Total","Number","10,783,748",""
"2016","Spain","Total","Total","Number","46,440,099",""
"2016","France","Total","Total","Number","66,638,391",""
"2016","Croatia","Total","Total","Number","4,190,669",""
"2016","Italy","Total","Total","Number","60,665,551",""
"2016","Cyprus","Total","Total","Number","848,319",""
"2016","Latvia","Total","Total","Number","1,968,957",""
"2016","Lithuania","Total","Total","Number","2,888,558",""
"2016","Luxembourg","Total","Total","Number","576,249",""
"2016","Hungary","Total","Total","Number","9,830,485",""
"2016","Malta","Total","Total","Number","450,415",""
"2016","Netherlands","Total","Total","Number","16,979,120",""
"2016","Austria","Total","Total","Number","8,700,471",""
"2016","Poland","Total","Total","Number","37,967,209",""
"2016","Portugal","Total","Total","Number","10,341,330",""
"2016","Romania","Total","Total","Number","19,760,585",""
"2016","Slovenia","Total","Total","Number","2,064,188",""
"2016","Slovakia","Total","Total","Number","5,426,252",""
"2016","Finland","Total","Total","Number","5,487,308",""
"2016","Sweden","Total","Total","Number","9,851,017",""
"2016","United Kingdom","Total","Total","Number","65,379,044",""
"2016","Iceland","Total","Total","Number","332,529",""
"2016","Liechtenstein","Total","Total","Number","37,622",""
"2016","Norway","Total","Total","Number","5,210,721",""
"2016","Switzerland","Total","Total","Number","8,327,126",""
"2017","Belgium","Total","Total","Number","11,351,727",""
"2017","Bulgaria","Total","Total","Number","7,101,859",""
"2017","Czechia","Total","Total","Number","10,578,820",""
"2017","Denmark","Total","Total","Number","5,748,769",""
"2017","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,521,653",""
"2017","Estonia","Total","Total","Number","1,315,635",""
"2017","Ireland","Total","Total","Number","4,784,383",""
"2017","Greece","Total","Total","Number","10,768,193",""
"2017","Spain","Total","Total","Number","46,528,024",""
"2017","France","Total","Total","Number","66,804,121",""
"2017","Croatia","Total","Total","Number","4,154,213",""
"2017","Italy","Total","Total","Number","60,589,445",""
"2017","Cyprus","Total","Total","Number","854,802",""
"2017","Latvia","Total","Total","Number","1,950,116",""
"2017","Lithuania","Total","Total","Number","2,847,904",""
"2017","Luxembourg","Total","Total","Number","590,667","b"
"2017","Hungary","Total","Total","Number","9,797,561",""
"2017","Malta","Total","Total","Number","460,297",""
"2017","Netherlands","Total","Total","Number","17,081,507",""
"2017","Austria","Total","Total","Number","8,772,865",""
"2017","Poland","Total","Total","Number","37,972,964",""
"2017","Portugal","Total","Total","Number","10,309,573",""
"2017","Romania","Total","Total","Number","19,644,350",""
"2017","Slovenia","Total","Total","Number","2,065,895",""
"2017","Slovakia","Total","Total","Number","5,435,343",""
"2017","Finland","Total","Total","Number","5,503,297",""
"2017","Sweden","Total","Total","Number","9,995,153",""
"2017","United Kingdom","Total","Total","Number","65,844,142",""
"2017","Iceland","Total","Total","Number","338,349",""
"2017","Liechtenstein","Total","Total","Number","37,810",""
"2017","Norway","Total","Total","Number","5,258,317",""
"2017","Switzerland","Total","Total","Number","8,419,550",""
